ID,year_,arrival_date,departure_date,tenure,young,mates,success_yn,latit,longit,present_next_year,present_previous_year,tarsus,wing,weight,hema,testo
1,2005,178,181,4,0,0,0,71.3231525,-156.6459688,0,0,28.29999924,139,89,62.33,15518.16655
121239901,2006,146,165,20,9,3,1,71.32272045,-156.6701323,0,0,30.29999924,149,106,58.5,3691.66195
121239902,2006,146,196,51,0,0,0,71.323152,-156.671722,0,0,29.89999962,146,107,57.5,14591.77083
121239903,2006,146,178,33,0,0,0,71.323548,-156.6752687,0,0,29.20000076,137,90.5,58.3333,NA
121239904,2006,146,148,3,0,0,0,71.32316,-156.6727967,0,0,28.10000038,146,102,55.4167,16682.01421
121239905,2006,147,150,4,0,0,0,71.3230975,-156.6738675,0,0,31,146,107,59.375,7801.55145
121239906,2006,147,186,40,4,1,1,71.32237946,-156.6706732,0,0,30.10000038,147,99.5,56.4,24092.88289
121239907,2006,147,147,1,0,0,0,71.32306,-156.6726,0,0,29.5,148,96,60.125,1592.04462
121239908,2006,148,178,31,4,2,1,71.32225042,-156.6747992,0,0,29.29999924,139,109,68.75,11883.9458
121239909,2006,148,148,1,0,0,0,71.32308,-156.6721,0,0,28.70000076,144,90,57.2,23161.67754
121239910,2006,148,152,5,0,0,0,71.32435333,-156.6758433,0,0,28.20000076,145,88,49.6667,1277.76257
121239911,2006,148,148,1,0,0,0,71.32387,-156.673,0,0,29.10000038,142,105,62.8,1031.5441
121239912,2006,166,168,3,4,1,1,71.324115,-156.644745,0,0,28.20000076,141,92,56.4,7236.80485
121239913,2006,166,174,9,0,0,0,71.32205,-156.63514,0,0,28.10000038,141,96,59,10560.11035
121239914,2006,166,166,1,0,0,0,71.32254,-156.6332,0,0,29.20000076,142.5,100,62.5,17847.63605
121239915,2006,166,173,8,0,0,0,71.3212875,-156.6410375,0,0,31,150.5,106,61.5,1329.30459
121239916,2006,166,192,27,7,2,1,71.32215571,-156.6419914,0,0,30.39999962,147,106,63.1667,2370.78692
121239917,2006,166,166,1,0,0,0,71.32312,-156.6441,0,0,27.60000038,140,93,61.1667,12996.15344
